date,citizenship,encounter_count,country_of_entry
2020-06-01,PAKISTAN,0,PANAMA
2020-06-01,PALESTINE,0,PANAMA
2020-06-01,PANAMA,3,PANAMA
2020-06-01,PARAGUAY,0,PANAMA
2020-06-01,PERU,0,PANAMA
2020-06-01,SENEGAL,0,PANAMA
2020-06-01,SIERRA LEONE,0,PANAMA
2020-06-01,SOMALIA,0,PANAMA
2020-06-01,SRI LANKA,0,PANAMA
2020-06-01,SUDAN,0,PANAMA
2020-06-01,SYRIA,0,PANAMA
2020-06-01,TAJIKISTAN,0,PANAMA
2020-06-01,TOGO,0,PANAMA
2020-06-01,URUGUAY,0,PANAMA
2020-06-01,UZBEKISTAN,0,PANAMA
2020-06-01,VENEZUELA,2,PANAMA
2020-06-01,VIETNAM,0,PANAMA
2020-06-01,YEMEN,0,PANAMA
2020-07-01,AFGHANISTAN,0,PANAMA
2020-07-01,AFRICA,0,PANAMA
2020-07-01,ANGOLA,0,PANAMA
2020-07-01,ARGENTINA,0,PANAMA
2020-07-01,BANGLADESH,0,PANAMA
2020-07-01,BENIN,0,PANAMA
2020-07-01,BOLIVIA,0,PANAMA
2020-07-01,BRAZIL,0,PANAMA
2020-07-01,BURKINA FASO,0,PANAMA
2020-07-01,BURUNDI,0,PANAMA
2020-07-01,CAMEROON,0,PANAMA
2020-07-01,CHAD,0,PANAMA
2020-07-01,CHILE,0,PANAMA
2020-07-01,CHINA,0,PANAMA
2020-07-01,COLOMBIA,0,PANAMA
2020-07-01,CONGO - BRAZZAVILLE,0,PANAMA
2020-07-01,CÔTE D’IVOIRE,0,PANAMA
2020-07-01,CUBA,0,PANAMA
2020-07-01,DOMINICAN REPUBLIC,0,PANAMA
2020-07-01,ECUADOR,0,PANAMA
2020-07-01,EGYPT,0,PANAMA
2020-07-01,EL SALVADOR,0,PANAMA
2020-07-01,ERITREA,0,PANAMA
2020-07-01,ETHIOPIA,0,PANAMA
2020-07-01,FRENCH GUIANA,0,PANAMA
2020-07-01,GAMBIA,0,PANAMA
2020-07-01,GHANA,0,PANAMA
2020-07-01,GUATEMALA,0,PANAMA
2020-07-01,GUINEA,0,PANAMA
2020-07-01,GUYANA,0,PANAMA
2020-07-01,HAITI,0,PANAMA
2020-07-01,HONDURAS,0,PANAMA
2020-07-01,INDIA,0,PANAMA
2020-07-01,IRAN,0,PANAMA
2020-07-01,KYRGYZSTAN,0,PANAMA
2020-07-01,LEBANON,0,PANAMA
2020-07-01,LIBERIA,0,PANAMA
2020-07-01,MALI,0,PANAMA
2020-07-01,MAURITANIA,0,PANAMA
2020-07-01,MEXICO,0,PANAMA
2020-07-01,NEPAL,0,PANAMA
2020-07-01,NICARAGUA,0,PANAMA
2020-07-01,NIGERIA,0,PANAMA
2020-07-01,OTHER,0,PANAMA
2020-07-01,PAKISTAN,0,PANAMA
2020-07-01,PALESTINE,0,PANAMA
2020-07-01,PANAMA,0,PANAMA
2020-07-01,PARAGUAY,0,PANAMA
2020-07-01,PERU,0,PANAMA
2020-07-01,SENEGAL,0,PANAMA
2020-07-01,SIERRA LEONE,0,PANAMA
2020-07-01,SOMALIA,0,PANAMA
2020-07-01,SRI LANKA,0,PANAMA
2020-07-01,SUDAN,0,PANAMA
2020-07-01,SYRIA,0,PANAMA
2020-07-01,TAJIKISTAN,0,PANAMA
2020-07-01,TOGO,0,PANAMA
2020-07-01,URUGUAY,0,PANAMA
2020-07-01,UZBEKISTAN,0,PANAMA
2020-07-01,VENEZUELA,0,PANAMA
2020-07-01,VIETNAM,0,PANAMA
2020-07-01,YEMEN,0,PANAMA
2020-08-01,AFGHANISTAN,0,PANAMA
2020-08-01,AFRICA,0,PANAMA
2020-08-01,ANGOLA,0,PANAMA
2020-08-01,ARGENTINA,0,PANAMA
2020-08-01,BANGLADESH,0,PANAMA
2020-08-01,BENIN,0,PANAMA
2020-08-01,BOLIVIA,0,PANAMA
2020-08-01,BRAZIL,0,PANAMA
2020-08-01,BURKINA FASO,0,PANAMA
2020-08-01,BURUNDI,0,PANAMA
2020-08-01,CAMEROON,0,PANAMA
2020-08-01,CHAD,0,PANAMA
2020-08-01,CHILE,0,PANAMA
2020-08-01,CHINA,3,PANAMA
2020-08-01,COLOMBIA,1,PANAMA
2020-08-01,CONGO - BRAZZAVILLE,0,PANAMA
2020-08-01,CÔTE D’IVOIRE,0,PANAMA
2020-08-01,CUBA,0,PANAMA
2020-08-01,DOMINICAN REPUBLIC,0,PANAMA
