date,citizenship,encounter_count,country_of_entry
2024-06-01,NIGERIA,12,PANAMA
2024-06-01,ERITREA,21,PANAMA
2024-06-01,SYRIA,42,PANAMA
2024-06-01,BENIN,22,PANAMA
2024-06-01,BURKINA FASO,8,PANAMA
2024-06-01,BOLIVIA,10,PANAMA
2024-06-01,NA,11,PANAMA
2024-06-01,MOROCCO,5,PANAMA
2024-06-01,SUDAN,13,PANAMA
2024-06-01,SRI LANKA,9,PANAMA
2024-06-01,GUINEA,23,PANAMA
2024-06-01,GUYANA,5,PANAMA
2024-06-01,YEMEN,6,PANAMA
2024-06-01,OTHER,61,PANAMA
2024-05-01,VENEZUELA,21245,PANAMA
2024-05-01,COLOMBIA,2098,PANAMA
2024-05-01,ECUADOR,1475,PANAMA
2024-05-01,CHINA,1511,PANAMA
2024-05-01,HAITI,882,PANAMA
2024-05-01,INDIA,649,PANAMA
2024-05-01,PERU,443,PANAMA
2024-05-01,VIETNAM,288,PANAMA
2024-05-01,BANGLADESH,366,PANAMA
2024-05-01,NEPAL,130,PANAMA
2024-05-01,CHILE,140,PANAMA
2024-05-01,AFGHANISTAN,181,PANAMA
2024-05-01,CAMEROON,156,PANAMA
2024-05-01,ANGOLA,123,PANAMA
2024-05-01,BRAZIL,95,PANAMA
2024-05-01,GHANA,111,PANAMA
2024-05-01,ETHIOPIA,86,PANAMA
2024-05-01,CUBA,67,PANAMA
2024-05-01,TOGO,96,PANAMA
2024-05-01,SOMALIA,43,PANAMA
2024-05-01,PAKISTAN,17,PANAMA
2024-05-01,IRAN,59,PANAMA
2024-05-01,CONGO - BRAZZAVILLE,48,PANAMA
2024-05-01,DOMINICAN REPUBLIC,32,PANAMA
2024-05-01,NIGERIA,35,PANAMA
2024-05-01,ERITREA,33,PANAMA
2024-05-01,SYRIA,42,PANAMA
2024-05-01,BENIN,15,PANAMA
2024-05-01,BURKINA FASO,27,PANAMA
2024-05-01,BOLIVIA,35,PANAMA
2024-05-01,NA,31,PANAMA
2024-05-01,MOROCCO,13,PANAMA
2024-05-01,SUDAN,14,PANAMA
2024-05-01,SRI LANKA,22,PANAMA
2024-05-01,GUINEA,21,PANAMA
2024-05-01,GUYANA,5,PANAMA
2024-05-01,YEMEN,14,PANAMA
2024-05-01,OTHER,99,PANAMA
2024-04-01,VENEZUELA,18558,PANAMA
2024-04-01,COLOMBIA,1729,PANAMA
2024-04-01,ECUADOR,1700,PANAMA
2024-04-01,CHINA,2302,PANAMA
2024-04-01,HAITI,1661,PANAMA
2024-04-01,INDIA,430,PANAMA
2024-04-01,PERU,371,PANAMA
2024-04-01,VIETNAM,348,PANAMA
2024-04-01,BANGLADESH,507,PANAMA
2024-04-01,NEPAL,125,PANAMA
2024-04-01,CHILE,282,PANAMA
2024-04-01,AFGHANISTAN,95,PANAMA
2024-04-01,CAMEROON,134,PANAMA
2024-04-01,ANGOLA,151,PANAMA
2024-04-01,BRAZIL,126,PANAMA
2024-04-01,GHANA,36,PANAMA
2024-04-01,ETHIOPIA,67,PANAMA
2024-04-01,CUBA,78,PANAMA
2024-04-01,TOGO,82,PANAMA
2024-04-01,SOMALIA,25,PANAMA
2024-04-01,PAKISTAN,34,PANAMA
2024-04-01,IRAN,61,PANAMA
2024-04-01,CONGO - BRAZZAVILLE,25,PANAMA
2024-04-01,DOMINICAN REPUBLIC,47,PANAMA
2024-04-01,NIGERIA,32,PANAMA
2024-04-01,ERITREA,19,PANAMA
2024-04-01,SYRIA,24,PANAMA
2024-04-01,BENIN,23,PANAMA
2024-04-01,BURKINA FASO,15,PANAMA
2024-04-01,BOLIVIA,10,PANAMA
2024-04-01,NA,9,PANAMA
2024-04-01,MOROCCO,17,PANAMA
2024-04-01,SUDAN,10,PANAMA
2024-04-01,SRI LANKA,6,PANAMA
2024-04-01,GUINEA,10,PANAMA
2024-04-01,GUYANA,11,PANAMA
2024-04-01,YEMEN,11,PANAMA
2024-04-01,OTHER,88,PANAMA
2024-03-01,VENEZUELA,23257,PANAMA
2024-03-01,COLOMBIA,2524,PANAMA
2024-03-01,ECUADOR,3295,PANAMA
2024-03-01,CHINA,1885,PANAMA
2024-03-01,HAITI,2506,PANAMA
2024-03-01,INDIA,254,PANAMA
2024-03-01,PERU,425,PANAMA
2024-03-01,VIETNAM,118,PANAMA
2024-03-01,BANGLADESH,165,PANAMA
2024-03-01,NEPAL,126,PANAMA
2024-03-01,CHILE,428,PANAMA
2024-03-01,AFGHANISTAN,202,PANAMA
2024-03-01,CAMEROON,174,PANAMA
2024-03-01,ANGOLA,319,PANAMA
2024-03-01,BRAZIL,197,PANAMA
2024-03-01,GHANA,120,PANAMA
2024-03-01,ETHIOPIA,61,PANAMA
2024-03-01,CUBA,68,PANAMA
2024-03-01,TOGO,78,PANAMA
2024-03-01,SOMALIA,96,PANAMA
2024-03-01,PAKISTAN,70,PANAMA
2024-03-01,IRAN,40,PANAMA
2024-03-01,CONGO - BRAZZAVILLE,51,PANAMA
2024-03-01,DOMINICAN REPUBLIC,43,PANAMA
2024-03-01,NIGERIA,19,PANAMA
2024-03-01,ERITREA,28,PANAMA
2024-03-01,SYRIA,50,PANAMA
2024-03-01,BENIN,25,PANAMA
2024-03-01,BURKINA FASO,11,PANAMA
2024-03-01,BOLIVIA,28,PANAMA
2024-03-01,NA,10,PANAMA
2024-03-01,MOROCCO,19,PANAMA
2024-03-01,SUDAN,22,PANAMA
2024-03-01,SRI LANKA,8,PANAMA
2024-03-01,GUINEA,13,PANAMA
2024-03-01,GUYANA,9,PANAMA
2024-03-01,YEMEN,4,PANAMA
2024-03-01,OTHER,93,PANAMA
2024-02-01,VENEZUELA,24895,PANAMA
2024-02-01,COLOMBIA,2483,PANAMA
2024-02-01,ECUADOR,3450,PANAMA
2024-02-01,CHINA,1562,PANAMA
2024-02-01,HAITI,1775,PANAMA
2024-02-01,INDIA,189,PANAMA
2024-02-01,PERU,441,PANAMA
2024-02-01,VIETNAM,66,PANAMA
2024-02-01,BANGLADESH,228,PANAMA
2024-02-01,NEPAL,104,PANAMA
2024-02-01,CHILE,313,PANAMA
2024-02-01,AFGHANISTAN,216,PANAMA
2024-02-01,CAMEROON,123,PANAMA
2024-02-01,ANGOLA,314,PANAMA
2024-02-01,BRAZIL,141,PANAMA
2024-02-01,GHANA,53,PANAMA
2024-02-01,ETHIOPIA,45,PANAMA
2024-02-01,CUBA,80,PANAMA
2024-02-01,TOGO,61,PANAMA
2024-02-01,SOMALIA,117,PANAMA
2024-02-01,PAKISTAN,26,PANAMA
2024-02-01,IRAN,34,PANAMA
2024-02-01,CONGO - BRAZZAVILLE,67,PANAMA
2024-02-01,DOMINICAN REPUBLIC,59,PANAMA
2024-02-01,NIGERIA,20,PANAMA
2024-02-01,ERITREA,14,PANAMA
2024-02-01,SYRIA,23,PANAMA
2024-02-01,BENIN,18,PANAMA
2024-02-01,BURKINA FASO,15,PANAMA
2024-02-01,BOLIVIA,19,PANAMA
2024-02-01,NA,10,PANAMA
2024-02-01,MOROCCO,31,PANAMA
2024-02-01,SUDAN,13,PANAMA
2024-02-01,SRI LANKA,7,PANAMA
2024-02-01,GUINEA,21,PANAMA
2024-02-01,GUYANA,26,PANAMA
2024-02-01,YEMEN,9,PANAMA
2024-02-01,OTHER,98,PANAMA
2024-01-01,VENEZUELA,21940,PANAMA
2024-01-01,COLOMBIA,2129,PANAMA
2024-01-01,ECUADOR,2208,PANAMA
2024-01-01,CHINA,2911,PANAMA
2024-01-01,HAITI,3048,PANAMA
2024-01-01,INDIA,152,PANAMA
2024-01-01,PERU,316,PANAMA
2024-01-01,VIETNAM,364,PANAMA
2024-01-01,BANGLADESH,298,PANAMA
2024-01-01,NEPAL,171,PANAMA
2024-01-01,CHILE,430,PANAMA
2024-01-01,AFGHANISTAN,326,PANAMA
2024-01-01,CAMEROON,102,PANAMA
2024-01-01,ANGOLA,279,PANAMA
2024-01-01,BRAZIL,221,PANAMA
2024-01-01,GHANA,90,PANAMA
2024-01-01,ETHIOPIA,66,PANAMA
2024-01-01,CUBA,104,PANAMA
2024-01-01,TOGO,70,PANAMA
2024-01-01,SOMALIA,86,PANAMA
2024-01-01,PAKISTAN,76,PANAMA
2024-01-01,IRAN,28,PANAMA
2024-01-01,CONGO - BRAZZAVILLE,73,PANAMA
2024-01-01,DOMINICAN REPUBLIC,53,PANAMA
2024-01-01,NIGERIA,35,PANAMA
2024-01-01,ERITREA,31,PANAMA
2024-01-01,SYRIA,22,PANAMA
2024-01-01,BENIN,21,PANAMA
2024-01-01,BURKINA FASO,34,PANAMA
2024-01-01,BOLIVIA,20,PANAMA
2024-01-01,NA,29,PANAMA
2024-01-01,MOROCCO,40,PANAMA
2024-01-01,SUDAN,22,PANAMA
2024-01-01,SRI LANKA,6,PANAMA
2024-01-01,GUINEA,20,PANAMA
2024-01-01,GUYANA,24,PANAMA
2024-01-01,YEMEN,13,PANAMA
2024-01-01,OTHER,143,PANAMA
2023-12-01,VENEZUELA,11505,PANAMA
2023-12-01,ECUADOR,3125,PANAMA
2023-12-01,HAITI,2285,PANAMA
2023-12-01,CHINA,2974,PANAMA
2023-12-01,COLOMBIA,1228,PANAMA
2023-12-01,CHILE,367,PANAMA
2023-12-01,AFGHANISTAN,384,PANAMA
2023-12-01,PERU,255,PANAMA
2023-12-01,BRAZIL,160,PANAMA
2023-12-01,INDIA,206,PANAMA
2023-12-01,NEPAL,99,PANAMA
2023-12-01,VIETNAM,533,PANAMA
2023-12-01,BANGLADESH,188,PANAMA
2023-12-01,CAMEROON,74,PANAMA
2023-12-01,ANGOLA,193,PANAMA
2023-12-01,CUBA,76,PANAMA
2023-12-01,SOMALIA,43,PANAMA
2023-12-01,BURKINA FASO,0,PANAMA
2023-12-01,PAKISTAN,43,PANAMA
2023-12-01,GHANA,105,PANAMA
2023-12-01,DOMINICAN REPUBLIC,0,PANAMA
2023-12-01,NIGERIA,15,PANAMA
2023-12-01,CONGO - BRAZZAVILLE,69,PANAMA
2023-12-01,ERITREA,17,PANAMA
2023-12-01,SUDAN,19,PANAMA
2023-12-01,SYRIA,31,PANAMA
2023-12-01,TOGO,60,PANAMA
2023-12-01,GUYANA,0,PANAMA
2023-12-01,GUINEA,26,PANAMA
2023-12-01,SRI LANKA,0,PANAMA
2023-12-01,IRAN,35,PANAMA
2023-12-01,ETHIOPIA,28,PANAMA
2023-12-01,MALI,22,PANAMA
2023-12-01,SIERRA LEONE,0,PANAMA
2023-12-01,KYRGYZSTAN,5,PANAMA
2023-12-01,OTHER,0,PANAMA
2023-11-01,VENEZUELA,22547,PANAMA
2023-11-01,ECUADOR,2996,PANAMA
2023-11-01,HAITI,2648,PANAMA
2023-11-01,CHINA,4090,PANAMA
2023-11-01,COLOMBIA,1716,PANAMA
2023-11-01,CHILE,420,PANAMA
2023-11-01,AFGHANISTAN,365,PANAMA
2023-11-01,PERU,327,PANAMA
2023-11-01,BRAZIL,164,PANAMA
2023-11-01,INDIA,113,PANAMA
2023-11-01,NEPAL,118,PANAMA
2023-11-01,VIETNAM,273,PANAMA
2023-11-01,BANGLADESH,125,PANAMA
2023-11-01,CAMEROON,180,PANAMA
2023-11-01,ANGOLA,130,PANAMA
2023-11-01,CUBA,85,PANAMA
2023-11-01,SOMALIA,65,PANAMA
2023-11-01,BURKINA FASO,0,PANAMA
2023-11-01,PAKISTAN,43,PANAMA
2023-11-01,GHANA,82,PANAMA
2023-11-01,DOMINICAN REPUBLIC,0,PANAMA
2023-11-01,NIGERIA,27,PANAMA
2023-11-01,CONGO - BRAZZAVILLE,78,PANAMA
2023-11-01,ERITREA,15,PANAMA
2023-11-01,SUDAN,26,PANAMA
2023-11-01,SYRIA,57,PANAMA
2023-11-01,TOGO,70,PANAMA
2023-11-01,GUYANA,0,PANAMA
2023-11-01,GUINEA,32,PANAMA
2023-11-01,SRI LANKA,0,PANAMA
2023-11-01,IRAN,13,PANAMA
2023-11-01,ETHIOPIA,34,PANAMA
2023-11-01,MALI,24,PANAMA
2023-11-01,SIERRA LEONE,0,PANAMA
2023-11-01,KYRGYZSTAN,0,PANAMA
2023-11-01,OTHER,0,PANAMA
2023-10-01,VENEZUELA,34594,PANAMA
2023-10-01,ECUADOR,2849,PANAMA
2023-10-01,HAITI,3202,PANAMA
2023-10-01,CHINA,2934,PANAMA
2023-10-01,COLOMBIA,2051,PANAMA
2023-10-01,CHILE,578,PANAMA
2023-10-01,AFGHANISTAN,400,PANAMA
2023-10-01,PERU,535,PANAMA
2023-10-01,BRAZIL,178,PANAMA
2023-10-01,INDIA,36,PANAMA
2023-10-01,NEPAL,145,PANAMA
2023-10-01,VIETNAM,397,PANAMA
2023-10-01,BANGLADESH,200,PANAMA
2023-10-01,CAMEROON,108,PANAMA
2023-10-01,ANGOLA,77,PANAMA
2023-10-01,CUBA,97,PANAMA
2023-10-01,SOMALIA,29,PANAMA
2023-10-01,BURKINA FASO,118,PANAMA
2023-10-01,PAKISTAN,28,PANAMA
2023-10-01,GHANA,63,PANAMA
2023-10-01,DOMINICAN REPUBLIC,50,PANAMA
2023-10-01,NIGERIA,45,PANAMA
2023-10-01,CONGO - BRAZZAVILLE,45,PANAMA
2023-10-01,ERITREA,7,PANAMA
2023-10-01,SUDAN,21,PANAMA
2023-10-01,SYRIA,77,PANAMA
2023-10-01,TOGO,48,PANAMA
2023-10-01,GUYANA,20,PANAMA
2023-10-01,GUINEA,35,PANAMA
2023-10-01,SRI LANKA,6,PANAMA
2023-10-01,IRAN,69,PANAMA
2023-10-01,ETHIOPIA,30,PANAMA
2023-10-01,MALI,25,PANAMA
2023-10-01,SIERRA LEONE,3,PANAMA
2023-10-01,KYRGYZSTAN,0,PANAMA
2023-10-01,OTHER,156,PANAMA
2023-09-01,VENEZUELA,58716,PANAMA
2023-09-01,ECUADOR,4744,PANAMA
2023-09-01,HAITI,2563,PANAMA
2023-09-01,CHINA,2588,PANAMA
2023-09-01,COLOMBIA,2570,PANAMA
2023-09-01,CHILE,450,PANAMA
2023-09-01,AFGHANISTAN,609,PANAMA
2023-09-01,PERU,667,PANAMA
2023-09-01,BRAZIL,163,PANAMA
2023-09-01,INDIA,43,PANAMA
2023-09-01,NEPAL,231,PANAMA
2023-09-01,VIETNAM,260,PANAMA
2023-09-01,BANGLADESH,260,PANAMA
2023-09-01,CAMEROON,136,PANAMA
2023-09-01,ANGOLA,116,PANAMA
2023-09-01,CUBA,166,PANAMA
2023-09-01,SOMALIA,57,PANAMA
2023-09-01,BURKINA FASO,122,PANAMA
2023-09-01,PAKISTAN,28,PANAMA
2023-09-01,GHANA,120,PANAMA
2023-09-01,DOMINICAN REPUBLIC,36,PANAMA
2023-09-01,NIGERIA,53,PANAMA
2023-09-01,CONGO - BRAZZAVILLE,47,PANAMA
2023-09-01,ERITREA,17,PANAMA
2023-09-01,SUDAN,26,PANAMA
2023-09-01,SYRIA,74,PANAMA
2023-09-01,TOGO,88,PANAMA
2023-09-01,GUYANA,19,PANAMA
2023-09-01,GUINEA,11,PANAMA
2023-09-01,SRI LANKA,1,PANAMA
2023-09-01,IRAN,46,PANAMA
2023-09-01,ETHIOPIA,23,PANAMA
2023-09-01,MALI,52,PANAMA
2023-09-01,SIERRA LEONE,5,PANAMA
2023-09-01,KYRGYZSTAN,0,PANAMA
2023-09-01,OTHER,161,PANAMA
2023-08-01,VENEZUELA,62700,PANAMA
2023-08-01,ECUADOR,8642,PANAMA
2023-08-01,HAITI,1559,PANAMA
2023-08-01,CHINA,2433,PANAMA
2023-08-01,COLOMBIA,2989,PANAMA
2023-08-01,CHILE,307,PANAMA
2023-08-01,AFGHANISTAN,467,PANAMA
2023-08-01,PERU,653,PANAMA
2023-08-01,BRAZIL,126,PANAMA
2023-08-01,INDIA,27,PANAMA
2023-08-01,NEPAL,221,PANAMA
2023-08-01,VIETNAM,298,PANAMA
2023-08-01,BANGLADESH,159,PANAMA
2023-08-01,CAMEROON,104,PANAMA
2023-08-01,ANGOLA,177,PANAMA
2023-08-01,CUBA,172,PANAMA
2023-08-01,SOMALIA,29,PANAMA
2023-08-01,BURKINA FASO,122,PANAMA
2023-08-01,PAKISTAN,23,PANAMA
2023-08-01,GHANA,60,PANAMA
2023-08-01,DOMINICAN REPUBLIC,45,PANAMA
2023-08-01,NIGERIA,46,PANAMA
2023-08-01,CONGO - BRAZZAVILLE,81,PANAMA
2023-08-01,ERITREA,18,PANAMA
2023-08-01,SUDAN,69,PANAMA
2023-08-01,SYRIA,48,PANAMA
2023-08-01,TOGO,45,PANAMA
2023-08-01,GUYANA,14,PANAMA
2023-08-01,GUINEA,27,PANAMA
2023-08-01,SRI LANKA,7,PANAMA
2023-08-01,IRAN,45,PANAMA
2023-08-01,ETHIOPIA,18,PANAMA
2023-08-01,MALI,27,PANAMA
2023-08-01,SIERRA LEONE,4,PANAMA
2023-08-01,KYRGYZSTAN,0,PANAMA
2023-08-01,OTHER,184,PANAMA
2023-07-01,VENEZUELA,38033,PANAMA
2023-07-01,ECUADOR,9773,PANAMA
2023-07-01,HAITI,1226,PANAMA
2023-07-01,CHINA,1789,PANAMA
2023-07-01,COLOMBIA,1884,PANAMA
2023-07-01,CHILE,167,PANAMA
2023-07-01,AFGHANISTAN,321,PANAMA
2023-07-01,PERU,376,PANAMA
2023-07-01,BRAZIL,155,PANAMA
2023-07-01,INDIA,96,PANAMA
2023-07-01,NEPAL,148,PANAMA
2023-07-01,VIETNAM,132,PANAMA
2023-07-01,BANGLADESH,243,PANAMA
2023-07-01,CAMEROON,98,PANAMA
2023-07-01,ANGOLA,185,PANAMA
2023-07-01,CUBA,123,PANAMA
2023-07-01,SOMALIA,41,PANAMA
2023-07-01,BURKINA FASO,93,PANAMA
2023-07-01,PAKISTAN,25,PANAMA
2023-07-01,GHANA,71,PANAMA
2023-07-01,DOMINICAN REPUBLIC,20,PANAMA
2023-07-01,NIGERIA,46,PANAMA
2023-07-01,CONGO - BRAZZAVILLE,25,PANAMA
2023-07-01,ERITREA,29,PANAMA
2023-07-01,SUDAN,33,PANAMA
2023-07-01,SYRIA,17,PANAMA
2023-07-01,TOGO,25,PANAMA
2023-07-01,GUYANA,10,PANAMA
2023-07-01,GUINEA,37,PANAMA
2023-07-01,SRI LANKA,10,PANAMA
2023-07-01,IRAN,25,PANAMA
2023-07-01,ETHIOPIA,13,PANAMA
2023-07-01,MALI,17,PANAMA
