citizenship,date,encounter_count,country_of_entry
AZERBAIJAN,2024-07-01,49,MEXICO
BANGLADESH,2024-07-01,295,MEXICO
CAMBODIA,2024-07-01,0,MEXICO
CHINA,2024-07-01,2070,MEXICO
NA,2024-07-01,11,MEXICO
SOUTH KOREA,2024-07-01,9,MEXICO
PHILIPPINES,2024-07-01,0,MEXICO
GEORGIA,2024-07-01,125,MEXICO
INDIA,2024-07-01,1314,MEXICO
INDONESIA,2024-07-01,0,MEXICO
IRAQ,2024-07-01,2,MEXICO
IRAN,2024-07-01,118,MEXICO
ISRAEL,2024-07-01,0,MEXICO
JAPAN,2024-07-01,53,MEXICO
JORDAN,2024-07-01,522,MEXICO
KAZAKHSTAN,2024-07-01,240,MEXICO
KYRGYZSTAN,2024-07-01,98,MEXICO
LEBANON,2024-07-01,1,MEXICO
MALAYSIA,2024-07-01,6,MEXICO
MYANMAR (BURMA),2024-07-01,0,MEXICO
MONGOLIA,2024-07-01,2,MEXICO
NEPAL,2024-07-01,302,MEXICO
PAKISTAN,2024-07-01,47,MEXICO
PALESTINIAN TERRITORIES,2024-07-01,16,MEXICO
SINGAPORE,2024-07-01,6,MEXICO
SYRIA,2024-07-01,21,MEXICO
SRI LANKA,2024-07-01,22,MEXICO
THAILAND,2024-07-01,1,MEXICO
TAIWAN,2024-07-01,13,MEXICO
TAJIKISTAN,2024-07-01,31,MEXICO
TURKMENISTAN,2024-07-01,0,MEXICO
TURKEY,2024-07-01,673,MEXICO
UZBEKISTAN,2024-07-01,236,MEXICO
VIETNAM,2024-07-01,282,MEXICO
YEMEN,2024-07-01,23,MEXICO
AUSTRALIA,2024-07-01,2,MEXICO
OTHER,2024-07-01,0,MEXICO
NEW ZEALAND,2024-07-01,0,MEXICO
TONGA,2024-07-01,1,MEXICO
VANUATU,2024-07-01,0,MEXICO
ANGOLA,2024-07-01,379,MEXICO
ALGERIA,2024-07-01,1,MEXICO
BENIN,2024-07-01,28,MEXICO
BURKINA FASO,2024-07-01,22,MEXICO
BURUNDI,2024-07-01,1,MEXICO
CAPE VERDE,2024-07-01,0,MEXICO
CAMEROON,2024-07-01,144,MEXICO
CHAD,2024-07-01,172,MEXICO
COMOROS,2024-07-01,0,MEXICO
CONGO - KINSHASA,2024-07-01,153,MEXICO
CÔTE D’IVOIRE,2024-07-01,0,MEXICO
DJIBOUTI,2024-07-01,0,MEXICO
EGYPT,2024-07-01,636,MEXICO
ERITREA,2024-07-01,162,MEXICO
ETHIOPIA,2024-07-01,109,MEXICO
GABON,2024-07-01,0,MEXICO
GAMBIA,2024-07-01,19,MEXICO
GHANA,2024-07-01,289,MEXICO
GUINEA,2024-07-01,312,MEXICO
GUINEA-BISSAU,2024-07-01,11,MEXICO
EQUATORIAL GUINEA,2024-07-01,33,MEXICO
KENYA,2024-07-01,0,MEXICO
LIBERIA,2024-07-01,0,MEXICO
LIBYA,2024-07-01,0,MEXICO
MADAGASCAR,2024-07-01,0,MEXICO
MALI,2024-07-01,30,MEXICO
MOROCCO,2024-07-01,126,MEXICO
MAURITANIA,2024-07-01,797,MEXICO
MOZAMBIQUE,2024-07-01,9,MEXICO
NAMIBIA,2024-07-01,0,MEXICO
NIGER,2024-07-01,0,MEXICO
NIGERIA,2024-07-01,57,MEXICO
RWANDA,2024-07-01,38,MEXICO
SENEGAL,2024-07-01,180,MEXICO
SIERRA LEONE,2024-07-01,3,MEXICO
SOMALIA,2024-07-01,24,MEXICO
SOUTH AFRICA,2024-07-01,0,MEXICO
SUDAN,2024-07-01,40,MEXICO
TANZANIA,2024-07-01,1,MEXICO
TOGO,2024-07-01,140,MEXICO
TUNISIA,2024-07-01,2,MEXICO
UGANDA,2024-07-01,13,MEXICO
ZAMBIA,2024-07-01,0,MEXICO
ZIMBABWE,2024-07-01,21,MEXICO
STATELESS,2024-07-01,0,MEXICO
CANADA,2024-06-01,4,MEXICO
UNITED STATES,2024-06-01,148,MEXICO
BELIZE,2024-06-01,581,MEXICO
COSTA RICA,2024-06-01,567,MEXICO
EL SALVADOR,2024-06-01,8373,MEXICO
GUATEMALA,2024-06-01,6811,MEXICO
HONDURAS,2024-06-01,7746,MEXICO
NICARAGUA,2024-06-01,4712,MEXICO
PANAMA,2024-06-01,967,MEXICO
BAHAMAS,2024-06-01,2,MEXICO
CUBA,2024-06-01,4893,MEXICO
DOMINICAN REPUBLIC,2024-06-01,2864,MEXICO
HAITI,2024-06-01,4099,MEXICO
JAMAICA,2024-06-01,423,MEXICO
TRINIDAD & TOBAGO,2024-06-01,2,MEXICO
ARGENTINA,2024-06-01,74,MEXICO
BOLIVIA,2024-06-01,1716,MEXICO
BRAZIL,2024-06-01,2619,MEXICO
CHILE,2024-06-01,1377,MEXICO
COLOMBIA,2024-06-01,7473,MEXICO
ECUADOR,2024-06-01,12053,MEXICO
FRENCH GUIANA,2024-06-01,3,MEXICO
GUYANA,2024-06-01,39,MEXICO
PARAGUAY,2024-06-01,320,MEXICO
PERU,2024-06-01,3327,MEXICO
SURINAME,2024-06-01,0,MEXICO
URUGUAY,2024-06-01,356,MEXICO
VENEZUELA,2024-06-01,39326,MEXICO
ALBANIA,2024-06-01,12,MEXICO
GERMANY,2024-06-01,3,MEXICO
ANDORRA,2024-06-01,0,MEXICO
AUSTRIA,2024-06-01,0,MEXICO
BELGIUM,2024-06-01,0,MEXICO
